year,cause,count
1990,Human,81
1990,Lightning,35
1990,Unknown,3069
1991,Human,47
1991,Lightning,13
1991,Unknown,3337
1992,Human,53
1992,Lightning,5
1992,Unknown,2265
1993,Human,63
1993,Lightning,7
1993,Unknown,3364
1994,Human,117
1994,Lightning,24
1994,Unknown,3114
1995,Human,71
1995,Lightning,17
1995,Unknown,3894
1996,Human,41
1996,Lightning,19
1996,Unknown,3596
1997,Human,48
1997,Lightning,23
1997,Unknown,3322
1998,Human,60
1998,Lightning,18
1998,Unknown,8673
1999,Human,110
1999,Lightning,7
1999,Unknown,3805
2000,Human,134
2000,Lightning,23
2000,Unknown,10531
2001,Human,46
2001,Lightning,22
2001,Unknown,4765
2002,Human,105
2002,Lightning,26
2002,Unknown,5420
2003,Human,211
2003,Lightning,57
2003,Unknown,5077
2004,Human,337
2004,Lightning,90
2004,Unknown,3992
2005,Human,302
2005,Lightning,91
2005,Unknown,4613
2006,Human,426
2006,Lightning,107
2006,Unknown,5228
2007,Human,264
2007,Lightning,95
2007,Unknown,5431
2008,Human,266
2008,Lightning,53
2008,Unknown,5610
2009,Human,305
2009,Lightning,75
2009,Unknown,8317
2010,Human,496
2010,Lightning,142
2010,Unknown,2966
2011,Human,390
2011,Lightning,70
2011,Unknown,3661
2012,Human,568
2012,Lightning,249
2012,Unknown,9718
2013,Human,434
2013,Lightning,149
2013,Unknown,5071
2014,Human,605
2014,Lightning,168
2014,Unknown,5553
2015,Human,653
2015,Lightning,258
2015,Unknown,6517
2016,Human,442
2016,Lightning,215
2016,Unknown,5881
2017,Human,582
2017,Lightning,188
2017,Unknown,8006
2018,Human,667
2018,Lightning,177
2018,Unknown,11420
2019,Human,650
2019,Lightning,373
2019,Unknown,13327
2020,Human,463
2020,Lightning,163
2020,Unknown,9295
2021,Human,421
2021,Lightning,232
2021,Unknown,15121
2022,Human,415
2022,Lightning,240
2022,Unknown,3223
2023,Human,195
2023,Lightning,82
2023,Unknown,866
