year,burnt_area_km2,n_fires
1950,2396,950
1951,2274,676
1952,4769,983
1953,3075,887
1954,4653,1164
1955,2841,1155
1956,3381,1243
1957,4270,1294
1958,10938,1192
1959,4917,1214
1960,3295,1046
1961,8605,1624
1962,5408,1426
1963,4303,1123
1964,5777,1318
1965,10303,1014
1966,5198,1092
1967,8574,1048
1968,9588,1040
1969,15944,1149
1970,8668,761
1971,3814,685
1972,93234,1110
1973,67898,1056
1974,19343,670
1975,13685,759
1976,16271,739
1977,20594,858
1978,9309,1210
1979,19011,926
1980,365407,1163
1981,12992,1403
1982,8024,1165
1983,20070,1571
1984,12320,1429
1985,97760,1879
1986,7719,1837
1987,9440,2996
1988,15272,3514
1989,11552,3219
1990,23478,3185
1991,19622,3397
1992,9216,2323
1993,11338,3434
1994,50045,3255
1995,496946,3982
1996,68982,3656
1997,63963,3393
1998,53680,8751
1999,192516,3922
2000,429588,10688
2001,114695,4833
2002,218909,5551
2003,216975,5345
2004,50304,4419
2005,89459,5006
2006,124015,5761
2007,90875,5790
2008,64016,5929
2009,145745,8697
2010,35142,3604
2011,515337,4121
2012,819445,10535
2013,172484,5654
2014,270727,6326
2015,120680,7428
2016,113358,6538
2017,273814,8776
2018,111384,12264
2019,346495,14350
2020,109668,9921
2021,223904,15774
2022,248694,3878
2023,64441,1143
