date,week,weekday,month,count,burnt_area_km2
2019-07-01,1,Mon,Jul 2019,1.0,87.4
2019-07-02,1,Tue,Jul 2019,0.0,0.0
2019-07-03,1,Wed,Jul 2019,0.0,18.9
2019-07-04,1,Thu,Jul 2019,6.0,158.6
2019-07-05,1,Fri,Jul 2019,1.0,0.1
2019-07-06,1,Sat,Jul 2019,0.0,0.0
2019-07-07,1,Sun,Jul 2019,0.0,0.0
2019-07-08,2,Mon,Jul 2019,0.0,0.0
2019-07-09,2,Tue,Jul 2019,1.0,37.9
2019-07-10,2,Wed,Jul 2019,4.0,83.7
2019-07-11,2,Thu,Jul 2019,2.0,0.0
2019-07-12,2,Fri,Jul 2019,4.0,42.9
2019-07-13,2,Sat,Jul 2019,2.0,0.2
2019-07-14,2,Sun,Jul 2019,1.0,0.5
2019-07-15,3,Mon,Jul 2019,4.0,41.9
2019-07-16,3,Tue,Jul 2019,6.0,252.3
2019-07-17,3,Wed,Jul 2019,13.0,50.6
2019-07-18,3,Thu,Jul 2019,3.0,217.5
2019-07-19,3,Fri,Jul 2019,3.0,98.2
2019-07-20,3,Sat,Jul 2019,1.0,0.5
2019-07-21,3,Sun,Jul 2019,1.0,1.7
2019-07-22,4,Mon,Jul 2019,1.0,3.9
2019-07-23,4,Tue,Jul 2019,1.0,9.4
2019-07-24,4,Wed,Jul 2019,10.0,21.7
2019-07-25,4,Thu,Jul 2019,4.0,25.8
2019-07-26,4,Fri,Jul 2019,7.0,68.8
2019-07-27,4,Sat,Jul 2019,1.0,1.3
2019-07-28,4,Sun,Jul 2019,2.0,0.1
2019-07-29,5,Mon,Jul 2019,1.0,238.5
2019-07-30,5,Tue,Jul 2019,8.0,148.1
2019-07-31,5,Wed,Jul 2019,8.0,12.0
2019-08-01,5,Thu,Aug 2019,12.0,76.2
2019-08-02,5,Fri,Aug 2019,2.0,17.2
2019-08-03,5,Sat,Aug 2019,4.0,19.5
2019-08-04,5,Sun,Aug 2019,2.0,43.1
2019-08-05,6,Mon,Aug 2019,3.0,5.8
2019-08-06,6,Tue,Aug 2019,2.0,17.8
2019-08-07,6,Wed,Aug 2019,8.0,52.5
2019-08-08,6,Thu,Aug 2019,12.0,155.4
2019-08-09,6,Fri,Aug 2019,7.0,74.7
2019-08-10,6,Sat,Aug 2019,8.0,18.4
2019-08-11,6,Sun,Aug 2019,6.0,9.2
2019-08-12,7,Mon,Aug 2019,4.0,7596.1
2019-08-13,7,Tue,Aug 2019,13.0,62.9
2019-08-14,7,Wed,Aug 2019,2.0,24.7
2019-08-15,7,Thu,Aug 2019,38.0,12.7
2019-08-16,7,Fri,Aug 2019,6.0,22.5
2019-08-17,7,Sat,Aug 2019,1.0,0.6
2019-08-18,7,Sun,Aug 2019,8.0,0.3
2019-08-19,8,Mon,Aug 2019,2.0,267.8
2019-08-20,8,Tue,Aug 2019,11.0,30.3
2019-08-21,8,Wed,Aug 2019,7.0,33.1
2019-08-22,8,Thu,Aug 2019,83.0,691.8
2019-08-23,8,Fri,Aug 2019,12.0,61.3
2019-08-24,8,Sat,Aug 2019,4.0,17.8
2019-08-25,8,Sun,Aug 2019,1.0,9.9
2019-08-26,9,Mon,Aug 2019,6.0,246.6
2019-08-27,9,Tue,Aug 2019,4.0,6.1
2019-08-28,9,Wed,Aug 2019,2.0,8.1
2019-08-29,9,Thu,Aug 2019,3.0,4.8
2019-08-30,9,Fri,Aug 2019,9.0,1145.9
2019-08-31,9,Sat,Aug 2019,1654.0,1027.7
2019-09-01,9,Sun,Sep 2019,108.0,460.4
2019-09-02,10,Mon,Sep 2019,393.0,341.1
2019-09-03,10,Tue,Sep 2019,533.0,741.0
2019-09-04,10,Wed,Sep 2019,3.0,288.0
2019-09-05,10,Thu,Sep 2019,440.0,2729.8
2019-09-06,10,Fri,Sep 2019,3.0,150.7
2019-09-07,10,Sat,Sep 2019,2.0,3211.1
2019-09-08,10,Sun,Sep 2019,6.0,676.5
2019-09-09,11,Mon,Sep 2019,1.0,475.3
2019-09-10,11,Tue,Sep 2019,31.0,296.3
2019-09-11,11,Wed,Sep 2019,6.0,60.9
2019-09-12,11,Thu,Sep 2019,79.0,408.4
2019-09-13,11,Fri,Sep 2019,4.0,19.4
2019-09-14,11,Sat,Sep 2019,388.0,865.8
2019-09-15,11,Sun,Sep 2019,2.0,1.6
2019-09-16,12,Mon,Sep 2019,1.0,1.4
2019-09-17,12,Tue,Sep 2019,7.0,46.6
2019-09-18,12,Wed,Sep 2019,6.0,6.5
2019-09-19,12,Thu,Sep 2019,4.0,279.2
2019-09-20,12,Fri,Sep 2019,1.0,0.0
2019-09-21,12,Sat,Sep 2019,6.0,741.6
2019-09-22,12,Sun,Sep 2019,11.0,126.2
2019-09-23,13,Mon,Sep 2019,3.0,32.8
2019-09-24,13,Tue,Sep 2019,4.0,466.6
2019-09-25,13,Wed,Sep 2019,4.0,7.0
2019-09-26,13,Thu,Sep 2019,9.0,29.5
2019-09-27,13,Fri,Sep 2019,6.0,51.0
2019-09-28,13,Sat,Sep 2019,6.0,383.1
2019-09-29,13,Sun,Sep 2019,7.0,23.0
2019-09-30,14,Mon,Sep 2019,16.0,252.7
2019-10-01,14,Tue,Oct 2019,3.0,3.2
2019-10-02,14,Wed,Oct 2019,16.0,8.9
2019-10-03,14,Thu,Oct 2019,23.0,529.0
2019-10-04,14,Fri,Oct 2019,5.0,0.9
2019-10-05,14,Sat,Oct 2019,7.0,0.4
2019-10-06,14,Sun,Oct 2019,3.0,0.0
2019-10-07,15,Mon,Oct 2019,9.0,161.5
2019-10-08,15,Tue,Oct 2019,6.0,14.1
2019-10-09,15,Wed,Oct 2019,5.0,28.8
2019-10-10,15,Thu,Oct 2019,3.0,0.1
2019-10-11,15,Fri,Oct 2019,7.0,194.7
2019-10-12,15,Sat,Oct 2019,6.0,203.6
2019-10-13,15,Sun,Oct 2019,9.0,30.2
2019-10-14,16,Mon,Oct 2019,5.0,2.1
2019-10-15,16,Tue,Oct 2019,7.0,14.0
2019-10-16,16,Wed,Oct 2019,35.0,4482.8
2019-10-17,16,Thu,Oct 2019,18.0,1592.4
2019-10-18,16,Fri,Oct 2019,10.0,334.7
2019-10-19,16,Sat,Oct 2019,7.0,5.6
2019-10-20,16,Sun,Oct 2019,8.0,595.2
2019-10-21,17,Mon,Oct 2019,16.0,200.4
2019-10-22,17,Tue,Oct 2019,50.0,4799.5
2019-10-23,17,Wed,Oct 2019,22.0,878.8
2019-10-24,17,Thu,Oct 2019,17.0,994.5
2019-10-25,17,Fri,Oct 2019,24.0,5101.2
2019-10-26,17,Sat,Oct 2019,20.0,1074.9
2019-10-27,17,Sun,Oct 2019,14.0,1875.5
2019-10-28,18,Mon,Oct 2019,11.0,309.3
2019-10-29,18,Tue,Oct 2019,14.0,1144.6
2019-10-30,18,Wed,Oct 2019,8.0,0.7
2019-10-31,18,Thu,Oct 2019,8.0,0.2
2019-11-01,18,Fri,Nov 2019,7.0,1.6
2019-11-02,18,Sat,Nov 2019,6.0,53.5
2019-11-03,18,Sun,Nov 2019,9.0,1749.4
2019-11-04,19,Mon,Nov 2019,5.0,24.3
2019-11-05,19,Tue,Nov 2019,4.0,55.0
2019-11-06,19,Wed,Nov 2019,17.0,4049.2
2019-11-07,19,Thu,Nov 2019,123.0,5664.9
2019-11-08,19,Fri,Nov 2019,4.0,4.0
2019-11-09,19,Sat,Nov 2019,7.0,24.2
2019-11-10,19,Sun,Nov 2019,5.0,72.6
2019-11-11,20,Mon,Nov 2019,19.0,29.4
2019-11-12,20,Tue,Nov 2019,8.0,216.6
2019-11-13,20,Wed,Nov 2019,7.0,297.1
2019-11-14,20,Thu,Nov 2019,170.0,879.6
2019-11-15,20,Fri,Nov 2019,7.0,182.6
2019-11-16,20,Sat,Nov 2019,0.0,176.6
2019-11-17,20,Sun,Nov 2019,6.0,472.2
2019-11-18,21,Mon,Nov 2019,6.0,217.4
2019-11-19,21,Tue,Nov 2019,7.0,278.6
2019-11-20,21,Wed,Nov 2019,14.0,456.0
2019-11-21,21,Thu,Nov 2019,154.0,817.7
2019-11-22,21,Fri,Nov 2019,95.0,5296.5
