year,decade,rain_deficit_mm,burnt_area_km2
1990,1990,-52.9,23478
1991,1990,-5.2,19622
1992,1990,-18.1,9216
1993,1990,21.9,11338
1994,1990,-127.4,50045
1995,1990,52.1,496946
1996,1990,-3.8,68982
1997,1990,48.1,63963
1998,1990,82.8,53680
1999,1990,112.7,192516
2000,2000,244.5,429588
2001,2000,76.8,114695
2002,2000,-133.5,218909
2003,2000,3.9,216975
2004,2000,25.5,50304
2005,2000,-71.7,89459
2006,2000,16.0,124015
2007,2000,29.6,90875
2008,2000,5.4,64016
2009,2000,-13.3,145745
2010,2010,217.7,35142
2011,2010,230.7,515337
2012,2010,5.8,819445
2013,2010,-43.4,172484
2014,2010,7.3,270727
2015,2010,-29.3,120680
2016,2010,66.1,113358
2017,2010,28.4,273814
2018,2010,-60.2,111384
2019,2010,-190.3,346495
2020,2020,20.6,109668
2021,2020,41.7,223904
2022,2020,123.2,248694
2023,2020,7.0,64441
