year,temp_anom_djf,fires,burnt_area_km2
1990,0.09,3185,23478
1991,0.74,3397,19622
1992,-0.06,2323,9216
1993,-0.16,3434,11338
1994,-0.0,3255,50045
1995,0.21,3982,496946
1996,0.06,3656,68982
1997,0.2,3393,63963
1998,1.11,8751,53680
1999,0.42,3922,192516
2000,-0.64,10688,429588
2001,0.46,4833,114695
2002,-0.57,5551,218909
2003,0.87,5345,216975
2004,0.74,4419,50304
2005,0.63,5006,89459
2006,0.89,5761,124015
2007,0.8,5790,90875
2008,0.29,5929,64016
2009,0.42,8697,145745
2010,0.84,3604,35142
2011,0.08,4121,515337
2012,-0.18,10535,819445
2013,1.29,5654,172484
2014,0.62,6326,270727
2015,1.02,7428,120680
2016,0.97,6538,113358
2017,0.75,8776,273814
2018,1.15,12264,111384
2019,2.11,14350,346495
2020,1.84,9921,109668
2021,0.05,15774,223904
2022,0.76,3878,248694
2023,0.09,1143,64441
